STATION,Elevator
14 St/8 Av (A/C/E/L),1
14 St-Union Sq (L/N/Q/R/W only; 4/5/6 is not accessible),1
23 St (6),1
28 St (6 downtown only),1
34 St-Herald Sq (B/D/F/M/N/Q/R/W),1
34 St-Penn Station (1/2/3/A/C/E),1
34 St-Hudson Yards (7),1
42 St-Port Authority Bus Terminal (A/C/E),1
47-50 Sts-Rockefeller Ctr (B/D/F/M),1
49 St (N/R/W uptown only),1
50 St (C/E downtown only),1
51 St (6),1
59 St-Columbus Circle (A/C/B/D/1),1
66 St-Lincoln Center (1),1
72 St (1/2/3),1
72 St (Q),1
86 St (6 uptown only),1
86 St (Q),1
96 St (1/2/3),1
96 St (Q),1
125 St (4/5/6),1
125 St (A/C/B/D),1
135 St (2/3),1
168 St (A/C only; 1 is not accessible),1
175 St (A),1
Bleecker St (6),1
Bowling Green (4/5),1
Broadway-Lafayette St (B/D/F/M),1
Brooklyn Bridge-City Hall (4/5/6),1
Canal St (6 only; J/N/Q/R/W/Z are not accessible),1
Chambers St (1/2/3),1
Cortlandt St (R/W),1
Dyckman St (1 downtown only),1
Fulton St (A/C/J/Z/2/3/4/5),1
Grand Central-42 St (4/5/6/7 only; S is not accessible),1
Inwood-207 St (A),1
Lexington Av/53 St (E/M),1
Lexington Av/63 St (F/Q),1
Roosevelt Island (F),1
South Ferry (1),1
Times Square-42 St (N/Q/R/W/1/2/3/7 only; S is not accessible),1
West 4 St-Washington Sq (A/C/E/B/D/F/M),1
World Trade Center (E),1
WTC Cortlandt (1),1
