Unformatted Stations ,Lines Unformatted,Formatted Station Name ,Lines List Formatted,Lines Uptown,Lines Downtown,Lines Uptown Formatted,Lines Downtown Formatted
14 St/8 Av (A/C/E/L),A/C/E/L,14 St/8 Av,A/C/E/L,A/C/E/L,A/C/E/L,"A, C, E, L","A, C, E, L"
14 St-Union Sq (L/N/Q/R/W only; 4/5/6 is not accessible),L/N/Q/R/W only; 4/5/6 is not accessible,14 St-Union Sq,L/N/Q/R/W,L/N/Q/R/W,L/N/Q/R/W,"L, N, Q, R, W","L, N, Q, R, W"
23 St (6),6,23 St,6,6,6,6,6
28 St (6 downtown only),6 downtown only,28 St,6 downtown only,0,6,0,6
34 St-Herald Sq (B/D/F/M/N/Q/R/W),B/D/F/M/N/Q/R/W,34 St-Herald Sq,B/D/F/M/N/Q/R/W,B/D/F/M/N/Q/R/W,B/D/F/M/N/Q/R/W,"B, D, F, M, N, Q, R, W","B, D, F, M, N, Q, R, W"
34 St-Penn Station (1/2/3/A/C/E),1/2/3/A/C/E,34 St-Penn Station,1/2/3/A/C/E,1/2/3/A/C/E,1/2/3/A/C/E,"1, 2, 3, A, C, E","1, 2, 3, A, C, E"
34 St-Hudson Yards (7),7,34 St-Hudson Yards,7,7,7,7,7
42 St-Port Authority Bus Terminal (A/C/E),A/C/E,42 St-Port Authority Bus Terminal,A/C/E,A/C/E,A/C/E,"A, C, E","A, C, E"
47-50 Sts-Rockefeller Ctr (B/D/F/M),B/D/F/M,47-50 Sts-Rockefeller Ctr,B/D/F/M,B/D/F/M,B/D/F/M,"B, D, F, M","B, D, F, M"
49 St (N/R/W uptown only),N/R/W uptown only,49 St,N/R/W uptown only,N/R/W,0,"N, R, W",0
50 St (C/E downtown only),C/E downtown only,50 St,C/E downtown only,0,C/E,0,"C, E"
51 St (6),6,51 St,6,6,6,6,6
59 St-Columbus Circle (A/C/B/D/1),A/C/B/D/1,59 St-Columbus Circle,A/C/B/D/1,A/C/B/D/1,A/C/B/D/1,"A, C, B, D, 1","A, C, B, D, 1"
66 St-Lincoln Center (1),1,66 St-Lincoln Center,1,1,1,1,1
