Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes_spaced,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
119,119,L06,BMT,Canarsie,1 Av,M,L,L,Subway,40.730953,-73.981628,8 Av,Brooklyn
156,156,A18,IND,8th Av - Fulton St,103 St,M,B C,BC,Subway,40.796092,-73.961454,Uptown & The Bronx,Downtown & Brooklyn
309,309,119,IRT,Broadway - 7Av,103 St,M,1,1,Subway,40.799446,-73.968379,Uptown & The Bronx,Downtown
395,395,624,IRT,Lexington Av,103 St,M,6,6,Subway,40.7906,-73.947478,Uptown & The Bronx,Downtown
394,394,623,IRT,Lexington Av,110 St,M,6,6,Subway,40.79502,-73.94425,Uptown & The Bronx,Downtown
154,154,A16,IND,8th Av - Fulton St,116 St,M,B C,BC,Subway,40.805085,-73.954882,Uptown & The Bronx,Downtown & Brooklyn
393,393,622,IRT,Lexington Av,116 St,M,6,6,Subway,40.798629,-73.941617,Uptown & The Bronx,Downtown
440,440,226,IRT,Lenox - White Plains Rd,116 St,M,2 3,23,Subway,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn
307,307,117,IRT,Broadway - 7Av,116 St-columbia,M,1,1,Subway,40.807722,-73.96411,Uptown & The Bronx,Downtown
306,306,116,IRT,Broadway - 7Av,125 St,M,1,1,Elevated,40.815581,-73.958372,Uptown & The Bronx,Downtown
439,439,225,IRT,Lenox - White Plains Rd,125 St,M,2 3,23,Subway,40.807754,-73.945495,Uptown & The Bronx,Downtown & Brooklyn
152,152,A14,IND,8th Av - Fulton St,135 St,M,B C,BC,Subway,40.817894,-73.947649,Uptown & The Bronx,Downtown & Brooklyn
305,305,115,IRT,Broadway - 7Av,137 St City Col,M,1,1,Subway,40.822008,-73.953676,Uptown & The Bronx,Downtown
229,601,D19,IND,6th Av - Culver,14 St,M,F M,FM,Subway,40.738228,-73.996209,Uptown & Queens,Downtown & Brooklyn
322,601,132,IRT,Broadway - 7Av,14 St,M,1 2 3,123,Subway,40.737826,-74.000201,Uptown & The Bronx,Downtown & Brooklyn
406,602,635,IRT,Lexington Av,14 ST-UNION SQ,M,456LNQRW,456LNQRW,Subway,40.734673,-73.989951,Uptown & The Bronx,Downtown & Brooklyn
151,151,A12,IND,8th Av - Fulton St,145 St,M,A BCD,ABCD,Subway,40.824783,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
151,151,D13,IND,Concourse,145 St,M,AB CD,ABCD,Subway,40.824783,-73.944216,Uptown & The Bronx,Downtown & Brooklyn
304,304,114,IRT,Broadway - 7Av,145 St,M,1,1,Subway,40.826551,-73.95036,Uptown & The Bronx,Downtown
437,437,302,IRT,Lenox - White Plains Rd,145 St,M,3,3,Subway,40.820421,-73.936245,148 St,Downtown & Brooklyn
150,150,A11,IND,8th Av - Fulton St,155 St,M,C,C,Subway,40.830518,-73.941514,Uptown,Downtown & Brooklyn
220,220,D12,IND,Concourse,155 St,M,B D,BD,Subway,40.830135,-73.938209,The Bronx,Downtown & Brooklyn
303,303,113,IRT,Broadway - 7Av,157 St,M,1,1,Subway,40.834041,-73.94489,Uptown & The Bronx,Downtown
149,149,A10,IND,8th Av - Fulton St,163 St-Amsterdm,M,C,C,Subway,40.836013,-73.939892,Uptown,Downtown & Brooklyn
302,605,112,IRT,Broadway - 7Av,168 St,M,1,1,Subway,40.840556,-73.940133,Uptown & The Bronx,Downtown
321,321,131,IRT,Broadway - 7Av,18 St,M,1,1,Subway,40.74104,-73.997871,Uptown & The Bronx,Downtown
146,146,A06,IND,8th Av - Fulton St,181 St,M,A,A,Subway,40.851695,-73.937969,207 St,Downtown & Brooklyn
301,301,111,IRT,Broadway - 7Av,181 St,M,1,1,Subway,40.849505,-73.933596,Uptown & The Bronx,Downtown
145,145,A05,IND,8th Av - Fulton St,190 St,M,A,A,Subway,40.859022,-73.93418,207 St,Downtown & Brooklyn
300,300,110,IRT,Broadway - 7Av,191 St,M,1,1,Subway,40.855225,-73.929412,Uptown & The Bronx,Downtown
232,232,F14,IND,6th Av - Culver,2 Av,M,F,F,Subway,40.723402,-73.989938,Uptown & Queens,Downtown & Brooklyn
298,298,108,IRT,Broadway - 7Av,207 St,M,1,1,Elevated,40.864621,-73.918822,Uptown & The Bronx,Downtown
297,297,107,IRT,Broadway - 7Av,215 St,M,1,1,Elevated,40.869444,-73.915279,The Bronx,Downtown
14,14,R19,BMT,Broadway - Brighton,23 St,M,R W,RW,Subway,40.741303,-73.989344,Uptown & Queens,Downtown & Brooklyn
165,165,A30,IND,8th Av - Fulton St,23 St,M,C E,CE,Subway,40.745906,-73.998041,Uptown - Queens,Downtown & Brooklyn
228,228,D18,IND,6th Av - Culver,23 St,M,F M,FM,Subway,40.742878,-73.992821,Uptown & Queens,Downtown & Brooklyn
320,320,130,IRT,Broadway - 7Av,23 St,M,1,1,Subway,40.744081,-73.995657,Uptown & The Bronx,Downtown
13,13,R18,BMT,Broadway - Brighton,28 St,M,R W,RW,Subway,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn
319,319,129,IRT,Broadway - 7Av,28 St,M,1,1,Subway,40.747215,-73.993365,Uptown & The Bronx,Downtown
118,118,L05,BMT,Canarsie,3 Av,M,L,L,Subway,40.732849,-73.986122,8 Av,Brooklyn
403,403,632,IRT,Lexington Av,33 St,M,6,6,Subway,40.746081,-73.982076,Uptown & The Bronx,Downtown
471,471,726,IRT,Flushing,34 ST-HUDSON YD,M,7,7,Subway,40.755882,-74.00191,Queens,
227,607,D17,IND,6th Av - Culver,34 ST-HERALD SQ,M,B D F M,BDFM,Subway,40.749719,-73.987823,Uptown & The Bronx - Queens,Downtown & Brooklyn
318,318,128,IRT,Broadway - 7Av,34 ST-PENN STA,M,1 2 3,123,Subway,40.750373,-73.991057,Uptown & The Bronx,Downtown & Brooklyn
226,609,D16,IND,6th Av - Culver,42 ST-BRYANT PK,M,B D F M,BDFM,Subway,40.754222,-73.984569,Uptown & The Bronx - Queens,Downtown & Brooklyn
466,609,724,IRT,Flushing,5 Ave,M,7,7,Subway,40.753821,-73.981963,Queens,34 St - Hudson Yards
276,276,F12,IND,Queens Blvd,5 Av/53 St,M,E M,EM,Subway,40.760167,-73.975224,Queens,Downtown & Brooklyn
8,8,R13,BMT,Astoria,5 Av/59 St,M,N QRW,NQRW,Subway,40.764811,-73.973347,Queens,Downtown & Brooklyn
316,316,126,IRT,Broadway - 7Av,50 St,M,1,1,Subway,40.761728,-73.983849,Uptown & The Bronx,Downtown
224,224,B10,IND,6th Av - Culver,57 St,M,F,F,Subway,40.763972,-73.97745,Uptown & Queens,Downtown & Brooklyn
9,9,R14,BMT,Broadway - Brighton,57 St-7 Av,M,N Q R W,NQRW,Subway,40.764664,-73.980658,Uptown & Queens,Downtown & Brooklyn
400,613,629,IRT,Lexington Av,59 St,M,4 5 6NQRW,456NQRW,Subway,40.762526,-73.967967,Uptown & The Bronx,Downtown & Brooklyn
315,614,125,IRT,Broadway - 7Av,59 St Columbus,M,1ABCD,1ABCD,Subway,40.768247,-73.981929,Uptown & The Bronx,Downtown
116,601,L02,BMT,Canarsie,6 Av,M,L,L,Subway,40.737335,-73.996786,8 Av,Brooklyn
399,399,628,IRT,Lexington Av,68St-Hunter co,M,6,6,Subway,40.768141,-73.96387,Uptown & The Bronx,Downtown
277,277,D14,IND,Queens Blvd,7 Av,M,B D E,BDE,Subway,40.762862,-73.981637,Uptown & The Bronx - Queens,Downtown & Brooklyn
160,160,A22,IND,8th Av - Fulton St,72 St,M,B C,BC,Subway,40.775594,-73.97641,Uptown & The Bronx,Downtown & Brooklyn
398,398,627,IRT,Lexington Av,77 St,M,6,6,Subway,40.77362,-73.959874,Uptown & The Bronx,Downtown
312,312,122,IRT,Broadway - 7Av,79 St,M,1,1,Subway,40.783934,-73.979917,Uptown & The Bronx,Downtown
115,618,L01,BMT,Canarsie,8 Av,M,L,L,Subway,40.739777,-74.002578,,Brooklyn
16,16,R21,BMT,Broadway - Brighton,8 St-NYU,M,R W,RW,Subway,40.730328,-73.992629,Uptown & Queens,Downtown & Brooklyn
159,159,A21,IND,8th Av - Fulton St,81 St-Museum,M,B C,BC,Subway,40.781433,-73.972143,Uptown & The Bronx,Downtown & Brooklyn
158,158,A20,IND,8th Av - Fulton St,86 St,M,B C,BC,Subway,40.785868,-73.968916,Uptown & The Bronx,Downtown & Brooklyn
311,311,121,IRT,Broadway - 7Av,86 St,M,1,1,Subway,40.788644,-73.976218,Uptown & The Bronx,Downtown
157,157,A19,IND,8th Av - Fulton St,96 St,M,B C,BC,Subway,40.791642,-73.964696,Uptown & The Bronx,Downtown & Brooklyn
396,396,625,IRT,Lexington Av,96 St,M,6,6,Subway,40.785672,-73.95107,Uptown & The Bronx,Downtown
407,407,636,IRT,Lexington Av,Astor Pl,M,6,6,Subway,40.730054,-73.99107,Uptown & The Bronx,Downtown
103,103,M19,BMT,Jamaica,Bowery,M,J Z,JZ,Subway,40.72028,-73.993915,Brooklyn,Broad St
107,107,M23,BMT,Jamaica,Broad St,M,J Z,JZ,Subway,40.706476,-74.011056,Brooklyn,
18,623,R23,BMT,Broadway,Canal St,M,R W,RW,Subway,40.719527,-74.001775,Uptown & Queens,Downtown & Brooklyn
19,623,Q01,BMT,Manhattan Bridge,Canal St,M,N Q,NQ,Subway,40.718383,-74.00046,Uptown & Queens,Downtown & Brooklyn
104,623,M20,BMT,Jamaica,Canal St,M,J Z,JZ,Subway,40.718092,-73.999892,Brooklyn,Broad St
169,169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,ACE,Subway,40.720824,-74.005229,Uptown - Queens,Downtown & Brooklyn
