Stop Name,Borough,GTFS Latitude,GTFS Longitude,Zip Code
59 ST,M,40.76266,-73.967258,10065
5 AV/59 ST,M,40.764811,-73.973347,10065
57 ST-7 AV,M,40.764664,-73.980658,10106
49 St,M,40.759901,-73.984139,10019
Times Sq - 42 St,M,40.754672,-73.986754,10018
34 ST-HERALD SQ,M,40.749567,-73.98795,10001
28 St,M,40.745494,-73.988691,10001
23 St,M,40.741303,-73.989344,10011
14 St - Union Sq,M,40.735736,-73.990568,10003
8 ST-NYU,M,40.730328,-73.992629,10003
PRINCE ST,M,40.724329,-73.997702,10012
Canal St,M,40.719527,-74.001775,10013
Canal St,M,40.718383,-74.00046,10013
CITY HALL,M,40.713282,-74.006978,10013
Cortlandt St,M,40.710668,-74.011029,10006
RECTOR ST,M,40.70722,-74.013342,10018
WHITEHALL S-FRY,M,40.703087,-74.012994,10004
Essex St,M,40.718315,-73.987437,10002
BOWERY,M,40.72028,-73.993915,10002
CANAL ST,M,40.718092,-73.999892,10013
CHAMBERS ST,M,40.713243,-74.003401,10013
Fulton St,M,40.710374,-74.007582,10038
BROAD ST,M,40.706476,-74.011056,10005
8 AV,M,40.739777,-74.002578,10011
6 AV,M,40.737335,-73.996786,10011
Union Sq - 14 St,M,40.734789,-73.99073,10003
3 AV,M,40.732849,-73.986122,10003
1 AV,M,40.730953,-73.981628,10009
Inwood - 207 St,M,40.868072,-73.919899,10034
Dyckman St,M,40.865491,-73.927271,10034
190 ST,M,40.859022,-73.93418,10040
181 ST,M,40.851695,-73.937969,10033
175 St,M,40.847391,-73.939704,10033
168 ST,M,40.840719,-73.939561,10032
163 ST-AMSTERDM,M,40.836013,-73.939892,10032
155 ST,M,40.830518,-73.941514,10018
145 St,M,40.824783,-73.944216,10031
145 St,M,40.824783,-73.944216,10031
135 ST,M,40.817894,-73.947649,10030
125 St,M,40.811109,-73.952343,10027
116 ST,M,40.805085,-73.954882,10035
CATHEDRAL PKWY,M,40.800603,-73.958161,10025
103 St,M,40.796092,-73.961454,10025
96 ST,M,40.791642,-73.964696,10029
86 ST,M,40.785868,-73.968916,10028
81 ST-MUSEUM,M,40.781433,-73.972143,10024
72 St,M,40.775594,-73.97641,10021
59 ST COLUMBUS,M,40.768296,-73.981736,10023
50 St,M,40.762456,-73.985984,10019
42 St - Port Authority Bus Terminal,M,40.757308,-73.989735,7094
34 ST-PENN STA,M,40.752287,-73.993391,10001
23 St,M,40.745906,-73.998041,10011
14 St,M,40.740893,-74.00169,10011
W 4 St,M,40.732338,-74.000495,10012
W 4 St,M,40.732338,-74.000495,10012
SPRING ST,M,40.726227,-74.003739,10012
Canal St,M,40.720824,-74.005229,10013
Chambers St,M,40.714111,-74.008585,10013
World Trade Center,M,40.712582,-74.009781,10007
Fulton St,M,40.710197,-74.007691,10038
155 St,M,40.830135,-73.938209,10018
Roosevelt Island,M,40.759145,-73.95326,10044
Lexington Av/63 St,M,40.764629,-73.966113,10065
57 ST,M,40.763972,-73.97745,10019
47-50 Sts - Rockefeller Ctr,M,40.758663,-73.981329,10020
42 ST-BRYANT PK,M,40.754222,-73.984569,10018
34 St - Herald Sq,M,40.749719,-73.987823,10001
23 St,M,40.742878,-73.992821,10011
14 St,M,40.738228,-73.996209,10011
Broadway-Lafayette St,M,40.725297,-73.996204,10012
GRAND ST,M,40.718267,-73.993753,10017
2 AV,M,40.723402,-73.989938,10002
DELANCEY/ESSEX,M,40.718611,-73.988114,10012
EAST BROADWAY,M,40.713715,-73.990173,10002
Lexington Av/53 St,M,40.757552,-73.969055,10022
5 AV/53 ST,M,40.760167,-73.975224,10022
