,STATION,LINENAME,ENTRIES,PREV_ENTRIES,DAILY_ENTRIES,ZipCode,aged,disabled,aged_scaled,disabled_scaled,entries_scaled,Neediness
29,2 AV,F,12302761442,12301342040,1419402,10002,23825.0,24260.0,0.8235111126473333,1.0,0.11393288725066782,0.6458146666326671
81,EAST BROADWAY,F,13818349792,13817246360,1103432,10002,23825.0,24260.0,0.8235111126473333,1.0,0.08857053438333812,0.6373605490102238
67,BOWERY,JZ,1541058079,1540687340,370739,10002,23825.0,24260.0,0.8235111126473333,1.0,0.029758563596800156,0.6177565587480445
3,103 ST,6,4361693836,4360641193,1052643,10025,28931.0,17545.0,1.0,0.72320692497939,0.08449379121221805,0.6025669053972027
2,103 ST,1,5901511168,5900529796,981372,10025,28931.0,17545.0,1.0,0.72320692497939,0.0787729941390546,0.6006599730394816
65,96 ST,6,66002402621,66001031830,1370791,10029,18966.0,24241.0,0.6555597801666033,0.9992168178070898,0.1100309682861023,0.5882691887532652
1,103 ST,BC,2747657700,2747271218,386482,10025,28931.0,17545.0,1.0,0.72320692497939,0.031022226353360497,0.5847430504442502
4,110 ST,6,3525627318,3524765893,861425,10029,18966.0,24241.0,0.6555597801666033,0.9992168178070898,0.06914506066632746,0.5746405528800069
64,96 ST,BC,2759062077,2758266307,795770,10029,18966.0,24241.0,0.6555597801666033,0.9992168178070898,0.06387504997700716,0.5728838826502335
23,168 ST,AC1,6709367361,6707824970,1542391,10032,14424.0,18119.0,0.4985655525215167,0.7468672712283594,0.12380499668131,0.4564126068103953
22,163 ST-AMSTERDM,C,1781396689,1781036204,360485,10032,14424.0,18119.0,0.4985655525215167,0.7468672712283594,0.028935493158778827,0.4247894389695516
85,GRD CNTRL-42 ST,4567S,226865326108,226858284997,12458229,10017,4720.0,1938.0,0.16314679755279804,0.07988458367683429,1.0,0.4143437937432108
52,59 ST COLUMBUS,1ABCD,95638201218,95636994494,1206724,10023,21116.0,9738.0,0.7298745290518821,0.401401483924155,0.09686160047306884,0.40937920448303533
26,181 ST,1,3345058744,3344147969,910775,10033,14882.0,15222.0,0.5143963222840552,0.6274525968672712,0.07310629785341079,0.4049850723349124
25,181 ST,A,5799926889,5799091720,835169,10033,14882.0,15222.0,0.5143963222840552,0.6274525968672712,0.06703753799998378,0.40296215238377003
