,index,STATION,LINENAME,ENTRIES,PREV_ENTRIES,DAILY_ENTRIES
117,0,1 AV,L,108210509971,108209211800,1298171
347,3,103 ST,BC,2747657700,2747271218,386482
171,1,103 ST,1,5901511168,5900529796,981372
160,2,103 ST,6,4361693836,4360641193,1052643
192,7,110 ST,6,3525627318,3524765893,861425
252,13,116 ST,BC,32702585905,32701985248,600657
82,12,116 ST,6,2748222208,2747401938,1545564
127,11,116 ST,23,2694787170,2694274635,1223427
116,14,116 ST-COLUMBIA,1,109346845797,109345545875,1299922
237,16,125 ST,1,59404208111,59403559920,648191
129,17,125 ST,23,226436618298,226435746719,1217065
229,21,135 ST,BC,18639633128,18639350338,688126
161,22,137 ST CITY COL,1,5824011627,5822960225,1051402
43,24,14 ST,123FLM,136127995794,136126624369,2160903
87,26,14 ST,FLM123,5106356915,5104832822,1524093
30,27,14 ST-UNION SQ,456LNQRW,6929928412,6927339998,2588414
55,31,145 ST,ABCD,10532589724,10530627025,1962699
210,29,145 ST,1,74091606691,74090837693,768998
406,30,145 ST,3,1333200594,1332932353,268241
425,36,155 ST,C,1479960900,1479730260,230640
392,35,155 ST,BD,2015951261,2015653704,297557
172,37,157 ST,1,2142497183,2164072058,979689
357,40,163 ST-AMSTERDM,C,1781396689,1781036204,360485
83,43,168 ST,AC1,6709367361,6707824970,1542391
187,54,18 ST,1,10632003265,10529067353,898260
195,56,181 ST,A,5799926889,5799091720,835169
185,55,181 ST,1,3345058744,3344147969,910775
337,59,190 ST,A,130850434643,130850348718,410733
247,60,191 ST,1,585232902,584619879,613023
101,61,2 AV,F,12302761442,12301342040,1419402
245,64,207 ST,1,14395618037,14395235027,626818
453,67,215 ST,1,703569282,703415343,153939
47,74,23 ST,NRW,14019555925,14018138632,2084625
60,72,23 ST,CE,20008254244,20179131227,1872824
33,73,23 ST,FM,279742828485,279740801145,2427484
132,70,23 ST,1,2477874323,2476675080,1199243
173,82,28 ST,NRW,3184504629,3183527287,977342
138,80,28 ST,1,3986075205,3988691294,1166734
331,83,3 AV,L,2334083753,2333667304,416449
40,87,33 ST,6,138942743023,138940806138,2200001
66,90,34 ST-HUDSON YD,7,1757207101,1758728650,1781609
1,89,34 ST-HERALD SQ,BDFMNQRW,416207405402,416198616451,9979861
13,92,34 ST-PENN STA,123ACE,176952641634,176958739415,3986023
25,91,34 ST-PENN STA,123,18723800228,18721181156,2736766
17,100,42 ST-BRYANT PK,BDFM7,183425635315,183192324471,3424411
131,111,5 AVE,7BDFM,22762423850,23753048625,1201027
58,109,5 AV/53 ST,EM,9509816879,9507900511,1916368
122,110,5 AV/59 ST,NQRW,12876331822,12875085214,1246608
50,112,50 ST,1,7985770577,7983718595,2051982
118,119,57 ST,F,3193484310,3192195199,1289111
23,120,57 ST-7 AV,NQRW,228259489535,228256808857,2791084
18,121,59 ST,456NQRW,151409177842,152109352062,3328368
130,124,59 ST COLUMBUS,1ABCD,95638201218,95636994494,1206724
334,126,6 AV,FLM123,110323108488,110323085885,413003
59,132,68ST-HUNTER CO,6,6807401943,6805487048,1914895
105,134,7 AV,BDE,3536868087,3535479555,1388532
212,139,72 ST,BC,2129268409,2128503548,764861
51,144,77 ST,6,23524582686,23522541086,2041600
133,146,79 ST,1,3500880266,3499690539,1189727
61,148,8 AV,ACEL,12188020316,12186161624,1858692
103,150,8 ST-NYU,NRW,9834527933,9833122593,1405340
148,152,81 ST-MUSEUM,BC,4156227303,4155116333,1110970
188,157,86 ST,BC,2437442751,2436545442,897309
100,155,86 ST,1,6078539422,6077117695,1421727
207,166,96 ST,BC,2759062077,2758266307,795770
108,165,96 ST,6,66002402621,66001031830,1370791
106,173,ASTOR PL,6,2572775464,2588695654,1377358
353,216,BOWERY,JZ,1541058079,1540687340,370739
251,221,BROAD ST,JZ,1645466543,1644864939,601604
14,234,CANAL ST,JNQRZ6W,275657025992,275653725771,3935409
76,233,CANAL ST,ACE,86865726382,86864065093,1661289
151,232,CANAL ST,1,1214606976,1214673988,1094968
169,238,CATHEDRAL PKWY,1,1846625682,1845633387,992295
241,239,CATHEDRAL PKWY,BC,8351240895,8350603337,637558
232,241,CENTRAL PK N110,23,33733685457,33733004899,680558
73,244,CHAMBERS ST,JZ456,7543322459,7547937822,1751258
41,243,CHAMBERS ST,ACE23,175021325858,175021923711,2183193
111,246,CHRISTOPHER ST,1,3809280219,3807940921,1339298
322,251,CITY HALL,NRW,30123305561,30122870111,435450
24,269,DELANCEY/ESSEX,FJMZ,6832262457,6830297155,2747176
261,272,DYCKMAN ST,A,2894751485,2894181404,570081
150,277,EAST BROADWAY,F,13818349792,13817246360,1103432
317,295,FRANKLIN ST,1,2540884517,2540442008,442509
8,301,FULTON ST,2345ACJZ,141641492745,141637040253,5303970
37,302,FULTON ST,ACJZ2345,285343602498,285341286072,2316426
0,311,GRD CNTRL-42 ST,4567S,226865326108,226858284997,12458229
36,307,GRAND ST,BD,27226794534,27225084362,2406560
391,318,HARLEM 148 ST,3,1050782409,1050481944,300465
142,322,HOUSTON ST,1,3372533374,3376172684,1137830
180,123,59 ST,NRW,1350710638,1349769657,940981
332,361,MARBLE HILL-225,1,697351313,698387151,414035
427,398,PARK PLACE,23ACE,890401932,890174238,227694
158,411,PRINCE ST,NRW,6602786729,6601720748,1065981
283,419,RECTOR ST,NRW,13141018517,13140507765,510752
219,418,RECTOR ST,1,1469950155,1440263437,731973
143,435,SPRING ST,CE,32783498625,32782368947,1129678
184,434,SPRING ST,6,3220184760,3224653539,922902
9,447,TIMES SQ-42 ST,1237ACENQRSW,506048173890,506043449802,5186698
137,448,TIMES SQ-42 ST,ACENQRS1237W,2493827302,2492658181,1169121
7,28,14 ST-UNION SQ,LNQR456W,17715382997,17713652332,5577067
72,462,WALL ST,23,10504197476,10502446154,1751322
63,463,WALL ST,45,42717492240,42716505558,1849328
110,466,WHITEHALL S-FRY,R1W,25426852740,25425494478,1358262
