,station,line,entries,exits
0,59 ST,NQR456W,925023.0,597107.0
1,5 AV/59 ST,NQRW,1161464.0,865504.0
2,57 ST-7 AV,NQRW,2613883.0,2019440.0
3,49 ST,NQRW,1654511.0,1341517.0
4,TIMES SQ-42 ST,ACENQRS1237W,1101997.0,1579513.0
5,34 ST-HERALD SQ,BDFMNQRW,9274940.0,8643377.0
6,28 ST,NRW,915084.0,1036050.0
7,23 ST,NRW,1647397.0,904669.0
8,14 ST-UNION SQ,LNQR456W,5222209.0,4798176.0
9,8 ST-NYU,NRW,1320908.0,810502.0
10,PRINCE ST,NRW,987701.0,979270.0
11,CANAL ST,JNQRZ6W,3673162.0,2660784.0
12,CITY HALL,NRW,408139.0,227416.0
13,CORTLANDT ST,RNW,1442383.0,1115598.0
14,RECTOR ST,NRW,481067.0,166033.0
15,WHITEHALL S-FRY,R1W,1277031.0,1195087.0
16,DELANCEY/ESSEX,FJMZ,2591116.0,1970217.0
17,BOWERY,JZ,346765.0,302463.0
18,CHAMBERS ST,JZ456,1705561.0,1210587.0
19,FULTON ST,ACJZ2345,2184609.0,1399025.0
20,BROAD ST,JZ,568185.0,217759.0
21,7 AV,BQ,731049.0,670358.0
22,PARK PLACE,S,125509.0,136108.0
23,BOTANIC GARDEN,S2345,283311.0,438567.0
24,PROSPECT PARK,BQS,800921.0,737208.0
25,PARKSIDE AV,BQ,461486.0,322531.0
26,CHURCH AV,BQ,1183756.0,1212332.0
27,BEVERLEY ROAD,BQ,265692.0,254455.0
28,CORTELYOU RD,BQ,468608.0,138879.0
29,NEWKIRK PLAZA,BQ,770088.0,718155.0
30,AVENUE H,BQ,292607.0,486225.0
31,AVENUE J,BQ,420093.0,220547.0
32,AVENUE M,BQ,409515.0,184637.0
33,KINGS HWY,BQ,1430680.0,1234925.0
34,AVENUE U,BQ,547850.0,201708.0
35,NECK RD,BQ,331941.0,419156.0
36,SHEEPSHEAD BAY,BQ,1121835.0,953372.0
37,BRIGHTON BEACH,BQ,1764668.0,962977.0
38,OCEAN PKWY,Q,251915.0,122079.0
39,BOROUGH HALL,R2345,191324.0,127942.0
40,JAY ST-METROTEC,R,289889.0,217467.0
41,DEKALB AV,BDNQR,2108325.0,676117.0
42,ATL AV-BARCLAY,BDNQR2345,1833128.0,1800968.0
43,UNION ST,R,545949.0,419599.0
44,4AV-9 ST,DFGMNR,681605.0,480707.0
45,PROSPECT AV,R,433216.0,349296.0
46,25 ST,R,287539.0,244405.0
47,36 ST,DNR,1037269.0,655412.0
48,45 ST,R,585857.0,338883.0
49,53 ST,R,645816.0,648017.0
50,59 ST,NRW,875530.0,530919.0
51,BAY RIDGE AV,R,631695.0,608084.0
52,77 ST,R,408871.0,154937.0
53,86 ST,R,845029.0,576602.0
54,BAY RIDGE-95 ST,R,428508.0,275125.0
55,8 AV,N,929953.0,1018634.0
56,FT HAMILTON PKY,N,446879.0,265106.0
57,NEW UTRECHT AV,ND,383890.0,291206.0
58,18 AV,N,337813.0,338399.0
59,20 AV,N,290591.0,284456.0
60,BAY PKWY,N,510451.0,374025.0
61,KINGS HWY,N,360347.0,368720.0
62,AVENUE U,N,266405.0,224248.0
63,86 ST,N,178744.0,200901.0
64,9 AV,D,421285.0,410341.0
65,FT HAMILTON PKY,D,292865.0,179121.0
66,50 ST,D,235436.0,217407.0
67,55 ST,D,143633.0,67560.0
68,71 ST,D,403536.0,128979.0
69,79 ST,D,470316.0,150581.0
70,18 AV,D,471556.0,124548.0
71,20 AV,D,384128.0,103138.0
72,BAY PKWY,D,585810.0,516389.0
73,25 AV,D,376756.0,85995.0
74,BAY 50 ST,D,206774.0,50240.0
75,CONEY IS-STILLW,DFNQ,1008649.0,875589.0
76,W 8 ST-AQUARIUM,FQ,178200.0,136561.0
77,8 AV,ACEL,1748213.0,1120525.0
78,6 AV,FLM123,389553.0,171611.0
79,3 AV,L,389317.0,413497.0
80,1 AV,L,1221780.0,1351651.0
81,BEDFORD AV,L,1885832.0,1235366.0
82,LORIMER ST,LG,396381.0,101655.0
83,GRAHAM AV,L,645584.0,417739.0
84,GRAND ST,L,448080.0,430587.0
85,MONTROSE AV,L,454147.0,259594.0
86,MORGAN AV,L,495930.0,272886.0
87,JEFFERSON ST,L,1120388.0,134260.0
88,DEKALB AV,L,757696.0,200974.0
89,MYRTLE-WYCKOFF,LM,1385659.0,882451.0
90,HALSEY ST,L,513203.0,324152.0
91,WILSON AV,L,311539.0,283257.0
92,BUSHWICK AV,L,143593.0,104590.0
93,ATLANTIC AV,L,116664.0,53820.0
94,SUTTER AV,L,245299.0,192527.0
95,LIVONIA AV,L,215398.0,183347.0
96,NEW LOTS,L,298895.0,325288.0
97,EAST 105 ST,L,242854.0,259059.0
98,CANARSIE-ROCKAW,L,809562.0,1004142.0
99,MARCY AV,JMZ,1431076.0,969399.0
100,HEWES ST,JM,284718.0,244928.0
101,LORIMER ST,JM,453822.0,339407.0
102,FLUSHING AV,JM,824325.0,901690.0
103,MYRTLE AV,JMZ,957499.0,595758.0
104,KOSCIUSZKO ST,J,447630.0,151761.0
105,GATES AV,JZ,564160.0,233741.0
106,HALSEY ST,J,523269.0,261437.0
107,CHAUNCEY ST,JZ,267840.0,134023.0
108,ALABAMA AV,J,157645.0,167795.0
109,VAN SICLEN AV,JZ,192302.0,211609.0
110,CLEVELAND ST,J,214521.0,235191.0
111,NORWOOD AV,JZ,228885.0,249548.0
112,CRESCENT ST,JZ,324954.0,361092.0
113,CYPRESS HILLS,J,107724.0,68858.0
114,75 ST-ELDERTS,JZ,264463.0,202420.0
115,85 ST-FOREST PK,J,271370.0,140842.0
116,WOODHAVEN BLVD,JZ,346603.0,219076.0
117,104 ST,JZ,177603.0,93027.0
118,111 ST,J,151461.0,90603.0
119,121 ST,JZ,164637.0,106753.0
120,HOWARD BCH JFK,A,384711.0,420536.0
121,JFK JAMAICA CT1,E,1775559.0,1080919.0
122,CENTRAL AV,M,394672.0,392432.0
123,KNICKERBOCKER,M,410609.0,436863.0
124,SENECA AVE,M,286137.0,292086.0
125,FOREST AVE,M,341968.0,258898.0
