Stop Name,Borough,GTFS Latitude,GTFS Longitude,Zip Code
Lexington Av/59 St,M,40.76266,-73.967258,10065
5 Av/59 St,M,40.764811,-73.973347,10065
57 St - 7 Av,M,40.764664,-73.98065799999999,10106
49 St,M,40.759901,-73.984139,10019
Times Sq - 42 St,M,40.754672,-73.986754,10018
34 St - Herald Sq,M,40.749567,-73.98795,10001
28 St,M,40.745494,-73.988691,10001
23 St,M,40.741303,-73.98934399999999,10011
14 St - Union Sq,M,40.735735999999996,-73.99056800000001,10003
8 St - NYU,M,40.730328,-73.99262900000001,10003
Prince St,M,40.724329,-73.997702,10012
Canal St,M,40.719527,-74.001775,10013
Canal St,M,40.718383,-74.00046,10013
City Hall,M,40.713282,-74.006978,10013
Cortlandt St,M,40.710668,-74.01102900000001,10006
Rector St,M,40.70722,-74.01334200000001,10018
Whitehall St,M,40.703087,-74.01299399999999,10004
Essex St,M,40.718315000000004,-73.987437,10002
Bowery,M,40.720279999999995,-73.993915,10002
Canal St,M,40.718092,-73.999892,10013
Chambers St,M,40.713243,-74.003401,10013
Fulton St,M,40.710374,-74.007582,10038
Broad St,M,40.706476,-74.01105600000001,10005
8 Av,M,40.739777000000004,-74.002578,11220
6 Av,M,40.737334999999995,-73.996786,11372
Union Sq - 14 St,M,40.734789,-73.99073,10003
3 Av,M,40.732849,-73.986122,11372
1 Av,M,40.730953,-73.981628,11372
Inwood - 207 St,M,40.868072,-73.919899,10034
Dyckman St,M,40.865491,-73.92727099999999,10034
190 St,M,40.859021999999996,-73.93418,10040
181 St,M,40.851695,-73.937969,10033
175 St,M,40.847390999999995,-73.939704,10033
168 St,M,40.840719,-73.939561,10032
163 St - Amsterdam Av,M,40.836013,-73.939892,10032
155 St,M,40.830518,-73.941514,10018
145 St,M,40.824783000000004,-73.944216,10031
145 St,M,40.824783000000004,-73.944216,10031
135 St,M,40.817894,-73.947649,10030
125 St,M,40.811109,-73.952343,10027
116 St,M,40.805085,-73.954882,10035
Cathedral Pkwy (110 St),M,40.800603,-73.958161,10025
103 St,M,40.796092,-73.961454,11368
96 St,M,40.791641999999996,-73.96469599999999,10029
86 St,M,40.785868,-73.96891600000001,10028
81 St - Museum of Natural History,M,40.781433,-73.972143,10024
72 St,M,40.775594,-73.97641,10021
59 St - Columbus Circle,M,40.768296,-73.981736,10023
50 St,M,40.762456,-73.985984,10019
42 St - Port Authority Bus Terminal,M,40.757308,-73.989735,07094
34 St - Penn Station,M,40.752287,-73.993391,10001
23 St,M,40.745906,-73.998041,10011
14 St,M,40.740893,-74.00169,10011
W 4 St,M,40.732338,-74.000495,10012
W 4 St,M,40.732338,-74.000495,10012
Spring St,M,40.726227,-74.003739,10012
Canal St,M,40.720824,-74.005229,10013
Chambers St,M,40.714110999999995,-74.008585,10013
World Trade Center,M,40.712582,-74.009781,10007
Fulton St,M,40.710196999999994,-74.00769100000001,10038
155 St,M,40.830135,-73.938209,10018
Roosevelt Island,M,40.759145000000004,-73.95326,10044
Lexington Av/63 St,M,40.764629,-73.966113,10065
57 St,M,40.763971999999995,-73.97745,10106
47-50 Sts - Rockefeller Ctr,M,40.758663,-73.981329,10020
42 St - Bryant Pk,M,40.754222,-73.984569,10018
34 St - Herald Sq,M,40.749719,-73.98782299999999,10001
23 St,M,40.742878000000005,-73.99282099999999,10011
14 St,M,40.738228,-73.996209,10011
Broadway-Lafayette St,M,40.725297,-73.996204,10012
Grand St,M,40.718267,-73.993753,10017
2 Av,M,40.723402,-73.989938,11372
Delancey St,M,40.718610999999996,-73.988114,10012
East Broadway,M,40.713715,-73.990173,10002
Lexington Av/53 St,M,40.757552000000004,-73.96905500000001,10022
5 Av/53 St,M,40.760166999999996,-73.975224,10022
7 Av,M,40.762862,-73.981637,10019
Marble Hill - 225 St,M,40.874561,-73.90983100000001,10034
215 St,M,40.869444,-73.915279,10018
207 St,M,40.864621,-73.91882199999999,10034
Dyckman St,M,40.860531,-73.925536,10034
191 St,M,40.855225,-73.929412,10040
181 St,M,40.849505,-73.933596,10033
168 St - Washington Hts,M,40.840556,-73.94013299999999,10032
157 St,M,40.834041,-73.94489,10018
145 St,M,40.826551,-73.95036,10031
137 St - City College,M,40.822008000000004,-73.953676,10031
125 St,M,40.815581,-73.958372,10027
116 St - Columbia University,M,40.807722,-73.96410999999999,10027
Cathedral Pkwy,M,40.803967,-73.966847,10022
103 St,M,40.799446,-73.968379,11368
96 St,M,40.793919,-73.972323,10029
86 St,M,40.788644,-73.976218,10028
79 St,M,40.783934,-73.979917,10024
72 St,M,40.778453000000006,-73.98196999999999,10021
66 St - Lincoln Center,M,40.77344,-73.982209,10023
59 St - Columbus Circle,M,40.768246999999995,-73.98192900000001,10023
50 St,M,40.761728000000005,-73.98384899999999,10019
Times Sq - 42 St,M,40.75529,-73.987495,10018
34 St - Penn Station,M,40.750372999999996,-73.991057,10001
28 St,M,40.747215000000004,-73.993365,10001
23 St,M,40.744081,-73.995657,10011
18 St,M,40.741040000000005,-73.99787099999999,10018
14 St,M,40.737826,-74.000201,10011
Christopher St - Sheridan Sq,M,40.733422,-74.00290600000001,10014
Houston St,M,40.728251,-74.005367,10014
Canal St,M,40.722854,-74.006277,10013
Franklin St,M,40.719318,-74.006886,10018
Chambers St,M,40.715478000000004,-74.009266,10013
WTC Cortlandt,M,40.711835,-74.012188,10007
Rector St,M,40.707513,-74.01378299999999,10018
South Ferry,M,40.702068,-74.013664,10004
Park Pl,M,40.713051,-74.008811,10007
Fulton St,M,40.709416,-74.006571,10038
Wall St,M,40.706821000000005,-74.0091,10038
125 St,M,40.804138,-73.93759399999999,10027
116 St,M,40.798629,-73.94161700000001,10035
110 St,M,40.79502,-73.94425,10029
103 St,M,40.7906,-73.947478,11368
96 St,M,40.785672,-73.95107,10029
86 St,M,40.779492,-73.955589,10028
77 St,M,40.77362,-73.959874,10075
68 St - Hunter College,M,40.768141,-73.96387,10021
59 St,M,40.762526,-73.967967,11234
51 St,M,40.757107,-73.97192,10022
Grand Central - 42 St,M,40.751776,-73.976848,10017
33 St,M,40.746081,-73.982076,10018
28 St,M,40.74307,-73.984264,10001
23 St,M,40.739864000000004,-73.986599,10011
14 St - Union Sq,M,40.734673,-73.989951,10003
Astor Pl,M,40.730053999999996,-73.99107,10003
Bleecker St,M,40.725915,-73.994659,10012
Spring St,M,40.722301,-73.997141,10012
Canal St,M,40.718803,-74.00019300000001,10013
Brooklyn Bridge - City Hall,M,40.713065,-74.004131,10013
Fulton St,M,40.710368,-74.009509,10038
Wall St,M,40.707557,-74.011862,10038
Bowling Green,M,40.704817,-74.014065,10004
Harlem - 148 St,M,40.823879999999996,-73.93647,10039
145 St,M,40.820421,-73.936245,10031
135 St,M,40.814229,-73.94077,10030
125 St,M,40.807753999999996,-73.945495,10027
116 St,M,40.802098,-73.949625,10035
