ZipCode,aged,disabled
10001,5297,3475
10002,23825,24260
10003,11020,5624
10004,540,169
10005,669,154
10006,377,0
10007,1231,170
10009,13667,13695
10010,7523,4206
10011,13260,7709
10012,5252,2307
10013,8071,5060
10014,7678,2914
10016,11458,6420
10017,4720,1938
10018,1339,921
10019,10479,7301
10020,,
10021,15250,5634
10022,12087,4602
10023,21116,9738
10024,19019,8657
10025,28931,17545
10026,8506,8112
10027,12631,11386
10028,13422,4568
10029,18966,24241
10030,7110,9215
10031,13199,12668
10032,14424,18119
10033,14882,15222
10034,10983,9624
10035,8515,10825
10036,5890,4501
10037,6089,3981
10038,6151,4893
10039,6223,6169
10040,12010,9692
10044,3531,1470
10065,9214,2845
10075,7999,2893
10128,,
10280,1944,432
